Region/Country/Area,Country/Area name,Year,Variables,Public expenditure on education (as of 2021)
320,Guatemala,2021,All staff compensation as % of total expenditure in public institutions (%),68.4
320,Guatemala,2021,Capital expenditure as % of total expenditure in public institutions (%),3.5
320,Guatemala,2022,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),32.4
320,Guatemala,2022,All staff compensation as % of total expenditure in public institutions (%),67.6
324,Guinea,2010,Capital expenditure as % of total expenditure in public institutions (%),7.7
324,Guinea,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.6
324,Guinea,2015,All staff compensation as % of total expenditure in public institutions (%),75.1
324,Guinea,2015,Capital expenditure as % of total expenditure in public institutions (%),12.3
324,Guinea,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.6
324,Guinea,2016,All staff compensation as % of total expenditure in public institutions (%),75.1
324,Guinea,2016,Capital expenditure as % of total expenditure in public institutions (%),12.3
324,Guinea,2016,Basic access to computers by level of education: Primary,0.0
324,Guinea,2016,Basic access to computers by level of education: Lower secondary,0
324,Guinea,2016,Basic access to computers by level of education: Upper secondary,0
324,Guinea,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),6.3
324,Guinea,2020,All staff compensation as % of total expenditure in public institutions (%),92.3
324,Guinea,2020,Capital expenditure as % of total expenditure in public institutions (%),1.4
324,Guinea,2020,Basic access to computers by level of education: Primary,2.3
324,Guinea,2021,Basic access to computers by level of education: Primary,2.3
624,Guinea-Bissau,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),12.5
624,Guinea-Bissau,2010,All staff compensation as % of total expenditure in public institutions (%),61.5
624,Guinea-Bissau,2010,Capital expenditure as % of total expenditure in public institutions (%),26.0
624,Guinea-Bissau,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),0.9
624,Guinea-Bissau,2013,All staff compensation as % of total expenditure in public institutions (%),48.3
624,Guinea-Bissau,2013,Capital expenditure as % of total expenditure in public institutions (%),50.8
328,Guyana,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.1
328,Guyana,2005,All staff compensation as % of total expenditure in public institutions (%),62.3
328,Guyana,2005,Capital expenditure as % of total expenditure in public institutions (%),14.6
328,Guyana,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.8
328,Guyana,2010,All staff compensation as % of total expenditure in public institutions (%),68.4
328,Guyana,2010,Capital expenditure as % of total expenditure in public institutions (%),8.7
328,Guyana,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.5
328,Guyana,2012,All staff compensation as % of total expenditure in public institutions (%),62.9
328,Guyana,2012,Capital expenditure as % of total expenditure in public institutions (%),14.6
340,Honduras,2013,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),15.6
340,Honduras,2013,All staff compensation as % of total expenditure in public institutions (%),79.7
340,Honduras,2013,Capital expenditure as % of total expenditure in public institutions (%),4.7
340,Honduras,2013,Basic access to computers by level of education: Primary,33.5
340,Honduras,2019,Basic access to computers by level of education: Primary,31.1
348,Hungary,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),21.0
348,Hungary,2005,All staff compensation as % of total expenditure in public institutions (%),71.6
348,Hungary,2005,Capital expenditure as % of total expenditure in public institutions (%),7.4
348,Hungary,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),27.1
348,Hungary,2010,All staff compensation as % of total expenditure in public institutions (%),62.5
348,Hungary,2010,Capital expenditure as % of total expenditure in public institutions (%),10.4
348,Hungary,2010,Basic access to computers by level of education: Primary,100.0
348,Hungary,2010,Basic access to computers by level of education: Lower secondary,100
348,Hungary,2010,Basic access to computers by level of education: Upper secondary,100
348,Hungary,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),26.3
348,Hungary,2015,All staff compensation as % of total expenditure in public institutions (%),67.4
348,Hungary,2015,Capital expenditure as % of total expenditure in public institutions (%),6.3
348,Hungary,2015,Basic access to computers by level of education: Primary,100.0
348,Hungary,2015,Basic access to computers by level of education: Lower secondary,100
348,Hungary,2015,Basic access to computers by level of education: Upper secondary,100
348,Hungary,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.1
348,Hungary,2016,All staff compensation as % of total expenditure in public institutions (%),70.5
348,Hungary,2016,Capital expenditure as % of total expenditure in public institutions (%),7.4
348,Hungary,2016,Basic access to computers by level of education: Primary,100.0
348,Hungary,2016,Basic access to computers by level of education: Lower secondary,100
348,Hungary,2016,Basic access to computers by level of education: Upper secondary,100
348,Hungary,2019,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.8
348,Hungary,2019,All staff compensation as % of total expenditure in public institutions (%),65.5
348,Hungary,2019,Capital expenditure as % of total expenditure in public institutions (%),10.7
348,Hungary,2019,Basic access to computers by level of education: Primary,69.2
348,Hungary,2020,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.7
348,Hungary,2020,All staff compensation as % of total expenditure in public institutions (%),68.8
348,Hungary,2020,Capital expenditure as % of total expenditure in public institutions (%),10.6
352,Iceland,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),23.6
352,Iceland,2005,All staff compensation as % of total expenditure in public institutions (%),67.9
352,Iceland,2005,Capital expenditure as % of total expenditure in public institutions (%),8.5
352,Iceland,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.8
352,Iceland,2010,All staff compensation as % of total expenditure in public institutions (%),72.6
352,Iceland,2010,Capital expenditure as % of total expenditure in public institutions (%),6.6
352,Iceland,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),29.7
